dataset,method,accuracy,auc,eo_tpr_gap,eqodds_tpr_gap,eqodds_tnr_gap
acs_income,baseline,0.7845738700247358,0.859781744336534,0.09241830535443785,0.09241830535443785,0.041503931805421335
acs_income,dsap_reweight,0.7785841323057424,0.8587561624177105,0.018239469510906492,0.018239469510906492,0.00031267896991249433
acs_income,eq_odds_eg,0.7735552057566899,0.7843569985977736,0.008965899666668498,0.008965899666668498,0.009792358677063184
acs_income,threshold_optimizer,0.7793814011488849,0.8598443934980591,0.013762846228842718,0.013762846228842718,0.00015310303195670283
acs_employment,baseline,0.7716065677630537,0.8452249818660857,0.017761207445413985,0.017761207445413985,0.02677564559123713
acs_employment,dsap,0.7679953539939813,0.8449961915562069,0.013635294558256295,0.013635294558256295,0.021149626801078902
acs_employment,eq_odds_eg,0.8087957341217464,0.8359837726968038,0.043088198943859846,0.043088198943859846,0.030995702234827727
acs_employment,threshold_optimizer,0.7712369991024761,0.8452943015583347,0.004291808387610119,0.004291808387610119,0.009960499750997664
compas,baseline,0.6757206208425721,0.7235370486903658,0.27328938056393615,0.27328938056393615,0.15988265043085426
compas,dsap,0.6729490022172949,0.7236214491307376,0.29088911237754655,0.29088911237754655,0.2068511198945976
compas,eq_odds_eg,0.5842572062084257,0.6362849904987445,0.08850150854844106,0.08850150854844106,0.002798713573760825
compas,threshold_optimizer,0.656319290465632,0.7227681358549206,0.03246172756732624,0.03246172756732624,0.01738557598671009
compas,baseline,0.6757206208425721,0.7235370486903658,0.27328938056393615,0.27328938056393615,0.15988265043085426
compas,dsap,0.6729490022172949,0.7236214491307376,0.29088911237754655,0.29088911237754655,0.2068511198945976
compas,eq_odds_eg,0.5842572062084257,0.6362849904987445,0.08850150854844106,0.08850150854844106,0.002798713573760825
compas,threshold_optimizer,0.6557649667405765,0.7227681358549206,0.0337840354602007,0.0337840354602007,0.026043584644718676
civilcomments,baseline_distilbert,0.9433333333333334,0.9226581405435641,0.0,0.0,0.0
fairface,baseline_toy,0.8888888888888888,0.9876543209876543,0.14285714285676532,0.14285714285676532,0.11111111111109873
fairface,dear_residual,1.0,1.0,3.5715874702191286e-13,3.5715874702191286e-13,0.0
